0.3000,1,32,3,64,1,16,3,32
-0.0118,1,64,1,64,1,32,3,64
0.0954,3,64,1,32,3,32,3,64
-0.0214,3,16,3,32,3,16,1,64
-0.0197,1,64,1,64,1,32,3,64
-0.0691,1,64,1,64,1,32,3,64
-0.0253,1,64,1,64,1,32,3,64
-0.0321,1,32,3,16,1,64,3,32
-0.0172,1,64,1,64,1,32,3,64
-0.0231,1,64,1,64,1,32,3,64
0.1167,1,32,3,64,3,32,3,32
-0.0179,3,16,1,32,1,16,3,64
-0.0438,1,64,3,32,1,16,3,16
0.0446,1,64,3,64,3,32,1,32
0.0887,3,64,3,64,1,16,3,32
0.0943,3,16,3,64,3,32,3,64
0.1341,3,64,3,64,3,32,3,64
0.0739,3,64,3,64,3,32,3,64
0.0662,3,64,3,64,3,32,3,64
-0.1484,3,16,1,64,1,64,3,16
