0.4838,24634,0.3,1,32,3,64,1,16,3,32
0.472,25642,-0.011800000000000033,1,64,1,64,1,32,3,64
0.5768,32266,0.09535999999999994,3,64,1,32,3,32,3,64
0.4791,11450,-0.021412000000000042,3,16,3,32,3,16,1,64
0.4765,25642,-0.01972960000000007,1,64,1,64,1,32,3,64
0.4232,25642,-0.06908367999999998,1,64,1,64,1,32,3,64
0.4532,25642,-0.025266944000000013,1,64,1,64,1,32,3,64
0.4413,24634,-0.03211355519999998,1,32,3,16,1,64,3,32
0.4498,25642,-0.01719084416000005,1,64,1,64,1,32,3,64
0.4405,25642,-0.02305267532800004,1,64,1,64,1,32,3,64
0.5756,46666,0.11665785973760001,1,32,3,64,3,32,3,32
0.4644,11450,-0.017873712209920012,3,16,1,32,1,16,3,64
0.4349,21738,-0.04379896976793596,1,64,3,32,1,16,3,16
0.5145,57034,0.04456082418565116,1,64,3,64,3,32,1,32
0.5676,44730,0.08874865934852094,3,64,3,64,1,16,3,32
0.5909,47338,0.09429892747881674,3,16,3,64,3,32,3,64
0.6496,76330,0.13413914198305332,3,64,3,64,3,32,3,64
0.6162,76330,0.07391131358644265,3,64,3,64,3,32,3,64
0.6233,76330,0.0662290508691541,3,64,3,64,3,32,3,64
0.4219,15098,-0.14841675930467674,3,16,1,64,1,64,3,16
0.4484,43978,-0.09223340744374142,1,32,1,64,3,64,1,64
0.5085,16986,-0.013686725954993206,3,16,3,16,3,32,3,32
0.39,22042,-0.12944938076399448,1,64,1,32,3,64,1,16
0.4931,24778,-0.0004595046111955936,3,64,3,32,1,64,1,32
0.4833,39850,-0.010167603688956472,1,32,3,64,3,32,1,64
0.4454,42890,-0.04603408295116518,1,16,1,64,1,64,3,64
0.4375,21898,-0.04472726636093216,3,16,1,32,1,64,3,32
0.6257,76330,0.1524181869112543,3,64,3,64,3,32,3,64
0.6483,76330,0.14453454952900346,3,64,3,64,3,32,3,64
0.6562,76330,0.12352763962320279,3,64,3,64,3,32,3,64
0.4201,8314,-0.13727788830143778,3,32,1,32,3,16,1,64
0.499,23274,-0.03092231064115014,3,64,3,32,1,16,3,16
0.4672,11930,-0.05653784851292015,1,64,1,32,3,16,3,32
0.6167,76330,0.10426972118966393,3,64,3,64,3,32,3,64
